tbl.id,work_table_day_axis.date,work_table_day_axis.industry,tbl.maximum
10,2012-07-06,Commercial Property,123042.40625
100,2012-09-18,Education,3648.55615234
101,2012-12-12,Education,17132.5703125
103,2012-09-05,Education,9056.90722656
109,2012-08-27,Education,5979.06005859
111,2012-08-29,Education,3809.54760742
116,2012-08-28,Education,8556.16210938
12,2012-07-09,Commercial Property,14683.8798828
13,2012-07-09,Commercial Property,14875.4873047
136,2012-08-20,Education,5327.90039062
137,2012-06-21,Education,5293.45458984
14,2012-01-19,Commercial Property,107529.132812
144,2012-02-13,Education,6662.42626953
153,2012-05-29,Education,4468.50439453
186,2012-09-05,Education,6471.43212891
197,2012-09-05,Education,8436.56835938
21,2012-03-20,Commercial Property,55369.6796875
213,2012-09-06,Education,3081.82470703
214,2012-09-04,Education,5507.45263672
217,2012-07-18,Education,7733.20117188
218,2012-08-28,Education,8882.20214844
22,2012-10-02,Commercial Property,22151.34375
224,2012-09-05,Education,7843.97265625
228,2012-09-11,Education,2393.76196289
236,2012-09-04,Education,3101.2355957
25,2012-03-20,Commercial Property,53748.1328125
259,2012-06-21,Education,6798.21875
270,2012-07-18,Education,6777.89794922
275,2012-09-10,Education,3428.72509766
281,2012-08-11,Food Sales & Storage,5616.67480469
285,2012-08-18,Food Sales & Storage,5046.84570312
29,2012-01-04,Commercial Property,30033.4433594
30,2012-01-17,Commercial Property,10145.1572266
304,2012-08-11,Food Sales & Storage,3838.30029297
31,2012-08-20,Commercial Property,6196.46044922
32,2012-07-18,Commercial Property,6977.77441406
339,2012-08-11,Food Sales & Storage,9773.79980469
341,2012-08-04,Food Sales & Storage,12671.2080078
36,2012-08-27,Commercial Property,7002.23925781
363,2012-08-11,Food Sales & Storage,4995.12890625
366,2012-08-04,Food Sales & Storage,9334.67578125
384,2012-08-11,Food Sales & Storage,4057.54980469
386,2012-09-15,Food Sales & Storage,5842.92138672
391,2012-07-01,Food Sales & Storage,10247.4814453
399,2012-08-04,Food Sales & Storage,10469.6005859
400,2012-08-11,Food Sales & Storage,3449.62207031
401,2012-08-11,Food Sales & Storage,4360.94482422
404,2012-07-18,Food Sales & Storage,4538.14111328
41,2012-07-07,Commercial Property,12851.4404297
42,2012-01-04,Commercial Property,35839.3632812
427,2012-07-22,Food Sales & Storage,4715.81835938
44,2012-11-02,Commercial Property,46381.15625
45,2012-07-06,Commercial Property,123192.171875
454,2012-08-12,Food Sales & Storage,6550.85986328
455,2012-08-11,Food Sales & Storage,5008.50146484
472,2012-08-04,Food Sales & Storage,8012.12841797
474,2012-08-12,Food Sales & Storage,5113.05810547
475,2012-08-11,Food Sales & Storage,8006.26904297
478,2012-08-05,Food Sales & Storage,9701.08398438
484,2012-07-12,Food Sales & Storage,4337.31396484
49,2012-07-18,Commercial Property,6872.84423828
492,2012-08-05,Food Sales & Storage,11079.9326172
496,2012-08-12,Food Sales & Storage,6046.53662109
51,2012-01-17,Commercial Property,15409.7773438
512,2012-08-12,Food Sales & Storage,8404.3828125
55,2012-07-06,Commercial Property,105149.085938
56,2012-01-04,Commercial Property,35893.7460938
6,2012-01-17,Commercial Property,13520.2304688
648,2012-11-12,Light Industrial,3422.66992188
65,2012-01-05,Commercial Property,43383.9570312
654,2012-08-14,Light Industrial,60956.9335938
673,2012-05-29,Light Industrial,1076.47558594
674,2012-10-30,Light Industrial,40840.0976562
690,2012-11-02,Light Industrial,45927.2265625
697,2012-10-30,Light Industrial,40300.8554688
703,2012-07-07,Light Industrial,10579.1367188
716,2012-07-06,Light Industrial,121240.851562
718,2012-11-09,Light Industrial,59428.8398438
731,2012-11-12,Light Industrial,3896.71850586
737,2012-11-03,Light Industrial,20624.40625
742,2012-11-08,Light Industrial,33771.9335938
744,2012-08-11,Light Industrial,6884.92626953
745,2012-02-04,Light Industrial,9549.48828125
755,2012-11-02,Light Industrial,54068.8789062
761,2012-11-01,Light Industrial,18614.8964844
765,2012-08-01,Light Industrial,5388.01416016
766,2012-08-28,Light Industrial,107792.539062
767,2012-10-02,Light Industrial,25271.0761719
771,2012-02-04,Light Industrial,8175.07226562
78,2012-01-04,Commercial Property,30973.7949219
786,2012-11-13,Light Industrial,74030.65625
8,2012-03-20,Commercial Property,54493.2109375
805,2012-07-18,Light Industrial,4469.73339844
808,2012-09-18,Light Industrial,3816.39038086
832,2012-03-20,Light Industrial,47177.0507812
88,2012-08-29,Education,3890.99780273
887,2012-01-04,Light Industrial,35402.9140625
9,2012-07-07,Commercial Property,12654.6474609
92,2012-05-29,Education,1248.42712402
99,2012-08-28,Education,3988.59204102
